호선명,역명,년월일,요일,구분,합계(전체),05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시
3호선,태전,202511,전체,하차,62683,100,939,1719,3706,2728,3004,3190,3470,3939,3722,5021,5412,6116,6491,3785,2904,2744,2445,1248
3호선,매천,202511,전체,승차,64380,1438,2093,5359,7658,5129,4452,4073,4072,4768,3556,3589,5055,3934,3186,1850,1223,919,770,1256
3호선,매천,202511,전체,하차,55783,176,879,1943,3349,1537,1850,2367,2926,3368,3335,4733,5577,5764,5764,3447,2542,2587,2182,1457
3호선,매천시장,202511,전체,승차,46587,462,1169,4476,4984,3297,3041,2809,2889,3065,2997,3160,3146,3461,2742,1712,1096,964,739,378
3호선,매천시장,202511,전체,하차,44259,285,1067,1350,2348,1708,1831,2251,2706,2794,2972,3033,3743,4133,4558,2509,2047,2012,1930,982
3호선,팔달,202511,전체,승차,31990,582,1090,3055,3227,2564,2146,2175,1985,2292,2023,1988,2277,2268,1669,903,648,401,264,433
3호선,팔달,202511,전체,하차,32785,114,919,1404,2345,1146,1320,1319,1861,1976,2071,2619,2783,3149,3122,2001,1335,1384,1375,542
3호선,공단,202511,전체,승차,40083,1070,461,1110,1534,1769,2267,2798,2942,2479,2383,2747,3731,5442,4743,1597,1031,756,520,703
3호선,공단,202511,전체,하차,33274,195,1745,6332,4974,2131,1872,1671,1782,2027,2010,2170,1603,1560,1200,678,469,383,274,198
3호선,만평,202511,전체,승차,46770,1320,1244,1904,2629,2308,2422,2556,2430,3176,2988,3038,3250,5346,5044,2215,1872,1304,984,740
3호선,만평,202511,전체,하차,37855,286,1773,3691,4330,2752,1951,1846,2346,2364,2061,2443,2552,2750,2381,1356,979,762,759,473
3호선,팔달시장,202511,전체,승차,72917,1391,2165,4263,5404,4583,4938,5746,5665,5558,5050,5424,5290,5509,5301,2288,1476,1069,653,1144
3호선,팔달시장,202511,전체,하차,67321,283,2104,3481,6437,4340,4326,4396,4532,4710,5274,5361,5528,4895,4241,2242,1825,1398,1158,790
3호선,원대,202511,전체,승차,54539,859,1502,4252,5510,3462,3224,3339,3446,3326,3351,3435,3207,4357,5027,1861,1426,1081,1083,791
3호선,원대,202511,전체,하차,51053,147,1160,3203,5193,2489,2135,2465,3019,2761,3135,3662,4337,4669,4825,2451,1713,1418,1573,698
3호선,북구청,202511,전체,승차,113050,966,2703,7362,10378,6603,5984,6415,7133,7007,6603,6978,8150,8561,11994,4202,3821,3663,3075,1452
3호선,북구청,202511,전체,하차,113202,492,1467,4842,15727,5629,4823,5377,6576,7669,6283,7502,8377,10339,11018,5601,3510,3394,2802,1774
3호선,달성공원,202511,전체,승차,89651,656,2366,9611,11821,7122,5247,5037,5036,5865,5141,5330,5661,6330,6417,2672,1907,1548,1092,792
3호선,달성공원,202511,전체,하차,84608,722,2709,5426,9430,4565,3601,4244,4191,5149,4610,5609,6975,6135,7458,4117,3028,2584,2626,1429
3호선,서문시장,202511,전체,승차,203799,545,818,2334,3998,4433,7213,12737,17985,22749,27209,30012,27362,22768,12697,4038,2696,2160,1381,664
3호선,서문시장,202511,전체,하차,202715,434,2004,5415,14513,14191,19404,25753,26292,25213,23461,17595,11789,6266,4517,2180,1505,1103,716,364
3호선,청라언덕3,202511,전체,승차,72172,868,1639,4277,6761,4725,3629,3955,4691,4717,3938,4821,4936,5768,5831,3551,3065,2273,1723,1004
3호선,청라언덕3,202511,전체,하차,69929,271,1568,3321,7319,4284,3908,3646,3800,4402,4616,4830,5949,5662,6337,2942,2392,2167,1640,875
3호선,남산,202511,전체,승차,94959,1156,1855,5177,7961,4941,4420,4613,6015,7408,5315,8398,7708,9550,7455,3463,2913,3159,2046,1406
3호선,남산,202511,전체,하차,94651,176,1314,5462,15982,5901,4612,4395,4931,6142,5025,5698,6035,7664,8132,4369,3000,2672,2044,1097
3호선,명덕3,202511,전체,승차,84140,822,1016,2800,4009,3316,3706,4235,5810,6217,6041,6554,9121,7386,7357,3920,3433,3449,2961,1987
3호선,명덕3,202511,전체,하차,74029,197,1407,6753,7129,4740,4189,4038,4462,5184,4497,4768,5011,5729,6162,3098,2365,1902,1624,774
3호선,건들바위,202511,전체,승차,55706,526,1270,3426,5145,3722,3563,3752,3756,3944,3392,4055,3902,4210,3774,1652,1957,1587,1186,887
3호선,건들바위,202511,전체,하차,53004,122,570,1501,4591,3595,2845,2403,3285,3450,3333,3589,4474,4683,5740,3355,1910,1424,1193,941
3호선,대봉교,202511,전체,승차,82410,1277,1488,4379,5821,4378,4132,4935,5734,6030,6207,7003,7016,5668,6030,4366,3653,1600,1103,1590
3호선,대봉교,202511,전체,하차,79703,172,1196,2387,5781,6334,5560,5460,5724,5990,5814,6187,6570,6498,6696,3086,2163,1771,1469,845
3호선,수성시장,202511,전체,승차,91700,993,1747,5090,6518,5201,5715,6301,6862,6264,5935,6912,6902,7520,7877,3853,2952,2263,1692,1103
3호선,수성시장,202511,전체,하차,85168,281,1291,3411,10058,5886,5073,5149,5066,6521,6169,6628,6544,6891,6857,3314,2210,1772,1200,847
