"주소1","주소2","주소3","주소4","학교명","분류","국어","영어","수학","평균","특목고계"
"전남","해남군","화원면","","화원중학교","사립","83.6","56.3","70.2","70.0","0"
"경기","고양시","덕양구","화정동","화정중학교","공립","83.6","76.4","82.9","81.0","13"
"경기","화성시","양감면","초록로","양감중학교","공립","83.6","77.4","62.6","74.5","0"
"울산","북구","천곡동","","천곡중학교","공립","83.6","75.1","79.0","79.2","6"
"강원","인제군","남면","신남리","신남중학교","공립","83.5","68.0","79.1","76.9",""
"서울","강남구","대치동","","휘문중학교","사립","83.5","80.4","74.9","79.6","6"
"서울","송파구","잠실동","","정신여자중학교","사립","83.5","85.7","82.5","83.9","16"
"경기","수원시","영통구","이의동","광교중학교","공립","83.5","80.7","79.7","81.3","8"
"경기","이천시","율면","고당리","율면중학교","공립","83.5","79.3","73.5","78.8","0"
"경기","성남시","분당구","금곡로","불곡중학교","공립","83.5","81.5","73.0","79.3","11"
"서울","중구","","","환일중학교","사립","83.5","74.9","84.3","80.9","2"
"충남","천안시","동남구","성남면","천남중학교","공립","83.5","83.7","60.1","75.8","0"
"서울","종로구","혜화동","","동성중학교","사립","83.4","68.7","79.1","77.1","0"
"울산","북구","산하동","","강동중학교","공립","83.4","82.1","76.7","80.7","6"
"서울","강남구","대치동","","단국대학교사범대학부속중학교","사립","83.4","82.8","79.4","81.9","6"
"경기","시흥시","정왕동","","송운중학교","공립","83.4","75.2","73.8","77.5","0"
"경기","용인시","기흥구","보정동","용인신촌중학교","공립","83.4","77.9","84.1","81.8","13"
"경기","시흥시","정왕동","","배곧중학교","공립","83.4","77.5","75.2","78.7","1"
"부산","해운대구","중동","","동백중학교","공립","83.4","78.6","73.9","78.6","3"
"서울","서초구","","","서문여자중학교","사립","83.4","79.6","73.4","78.8","4"
"부산","강서구","","","경일중학교","공립","83.3","75.3","75.3","78.0","7"
"경기","오산시","원동","","성호중학교","공립","83.3","73.0","81.4","79.2","0"
"경기","용인시","수지구","풍덕천동","정평중학교","공립","83.3","78.0","72.6","78.0","11"
"경기","용인시","수지구","","홍천중학교","공립","83.3","77.9","78.8","80.0","7"
"경북","영천시","청통면","원촌리","청통중학교","공립","83.3","75.0","79.0","79.1","0"
"경북","포항시","북구","신광면","신광중학교","공립","83.3","72.4","79.7","78.5","0"
"부산","수영구","광안동","","광안중학교","공립","83.3","74.0","76.6","78.0","3"
"경북","문경시","문경읍","상리","문경서중학교","공립","83.3","75.6","74.3","77.7","0"
"전북","진안군","백운면","백암리","백운중학교","공립","83.3","70.5","81.0","78.3",""
"경기","평택시","","","해창중학교","공립","83.3","71.8","82.7","79.3",""
"경남","밀양시","단장면","단장리","동국대학교사범대학부속홍제중학교","사립","83.3","56.9","68.3","69.5","0"
"세종","연동면","내판리","","연동중학교","공립","83.3","65.8","68.3","72.5","0"
"서울","송파구","","","거원중학교","공립","83.3","74.2","76.8","78.1","3"
"경기","수원시","영통구","","산남중학교","공립","83.2","80.8","77.9","80.6","3"
"경기","고양시","덕양구","","지도중학교","공립","83.2","76.8","76.5","78.8","7"
"경기","용인시","기흥구","서천동","서천중학교","공립","83.2","75.4","80.1","79.6","3"
"서울","강동구","강일동","","강빛중학교","공립","83.2","70.7","73.3","75.7","2"
"광주","남구","봉선동","","문성중학교","사립","83.2","70.1","83.4","78.9","6"
"대전","서구","","","대전탄방중학교","공립","83.2","81.8","82.8","82.6","20"
"제주","제주시","조천읍","신촌리","조천중학교","공립","83.2","72.4","68.1","74.6","6"
"경기","파주시","와동동","","한가람중학교","공립","83.2","77.6","80.3","80.4","4"
"경기","하남시","감일백제로","","감일중학교","공립","83.2","77.5","80.2","80.3","6"
"경남","거제시","장목면","옥포대첩로","장목예술중학교","사립","83.2","58.6","66.8","69.5","0"
"전남","담양군","창평면","창평리","창평중학교","공립","83.2","65.3","70.7","73.1","0"
"대전","중구","문화동","","대전문화여자중학교","공립","83.2","72.5","69.0","74.9","0"
"경기","남양주시","경춘로","","동화중학교","사립","83.1","76.4","78.6","79.4","3"
"전북","김제시","성덕면","묘라리","지평선중학교","사립","83.1","82.6","79.7","81.8",""
"부산","부산진구","","","동의중학교","사립","83.1","76.3","77.0","78.8","2"
"서울","성동구","응봉동","","광희중학교","공립","83.1","79.6","71.5","78.1","3"
"전남","무안군","일로읍","","무안행복중학교","공립","83.1","77.4","73.2","77.9","5"
"전북","군산시","나포면","옥곤리","나포중학교","공립","83.0","65.8","76.0","74.9",""
"경북","안동시","법상동","","안동여자중학교","공립","83.0","80.2","76.5","79.9","2"
"울산","울주군","삼남면","가천리","삼남중학교","공립","83.0","74.8","79.1","79.0","3"
